Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
13752,1.08,Premium,D,VS2,61.2,60.0,6.63,6.61,4.05,7824
21570,2.54,Very Good,I,SI2,63.4,56.0,8.68,8.64,5.49,12095
4439,0.56,Ideal,I,VVS1,62.0,57.0,5.29,5.33,3.29,1580
3504,0.42,Ideal,F,VVS2,61.6,56.0,4.83,4.85,2.98,1142
20620,0.32,Good,D,SI2,63.9,58.0,4.33,4.31,2.76,612
26688,0.32,Ideal,D,VS2,62.1,53.0,4.42,4.44,2.75,671
14948,0.33,Premium,H,VS1,61.5,58.0,4.39,4.46,2.72,579
21448,1.35,Good,I,VS2,59.2,65.0,7.18,7.13,4.23,5610
15610,0.4,Good,E,SI1,63.2,56.0,4.69,4.74,2.98,687
26147,0.31,Good,F,SI1,63.1,55.0,4.28,4.34,2.72,516
3884,1.01,Good,F,SI1,61.6,63.0,6.42,6.47,3.97,4816
25694,0.33,Premium,D,SI2,62.7,58.0,4.41,4.39,2.76,631
24875,0.58,Good,E,SI1,59.3,64.0,5.48,5.42,3.23,1336
12422,0.37,Ideal,G,IF,61.2,56.0,4.65,4.67,2.85,1056
12747,0.38,Very Good,E,SI1,62.8,58.0,4.6,4.63,2.9,701
4212,0.43,Premium,G,VS2,61.1,58.0,4.88,4.84,2.97,1113
13164,0.9,Good,J,VS2,62.3,64.0,6.09,6.17,3.82,3423
7519,0.9,Good,G,SI2,63.8,59.0,6.02,6.05,3.85,3303
8664,0.3,Good,G,VS2,63.9,55.0,4.28,4.27,2.73,675
26906,0.7,Very Good,I,VS2,62.2,59.0,5.64,5.71,3.53,1666
17359,0.42,Ideal,G,VS1,61.3,57.0,4.78,4.81,2.94,921
1697,0.71,Ideal,F,SI1,61.5,56.0,5.69,5.76,3.52,2610
13778,0.9,Premium,H,VS2,62.7,59.0,6.15,6.1,3.84,4082
22110,1.22,Very Good,J,SI2,62.2,60.0,6.77,6.89,4.25,4058
13233,0.73,Ideal,F,SI2,62.1,56.0,5.77,5.8,3.59,2276
19192,1.5,Very Good,E,SI1,60.4,59.0,7.35,7.39,4.45,12000
6550,0.62,Very Good,E,SI2,58.8,63.0,5.58,5.61,3.29,1624
8225,1.15,Ideal,G,SI1,61.7,56.0,6.72,6.76,4.16,5224
12589,2.0,Premium,J,VVS2,63.0,59.0,8.0,7.97,5.03,15214
11158,0.42,Good,G,SI1,63.1,56.0,4.75,4.79,3.01,687
2947,0.3,Very Good,G,SI1,59.5,63.0,4.32,4.29,2.56,574
12696,0.97,Very Good,G,VVS1,61.9,54.0,6.33,6.36,3.93,7415
23945,1.01,Ideal,F,SI2,62.7,57.0,6.43,6.37,4.01,4017
15420,0.8,Very Good,I,SI1,61.9,56.0,5.94,5.98,3.69,2473
8025,1.51,Premium,H,VS2,,60.0,7.33,7.35,4.42,11435
22968,0.57,Ideal,F,SI1,62.2,56.0,5.33,5.31,3.31,1751
3107,0.5,Ideal,I,VVS2,61.8,57.0,5.09,5.11,3.15,1322
18559,1.02,Ideal,D,SI2,61.4,56.0,6.42,6.57,3.99,4946
20170,1.57,Ideal,I,SI1,61.9,55.0,7.38,7.44,4.59,11040
801,1.5,Good,H,SI2,63.8,57.0,7.21,7.14,4.58,5416
21810,0.52,Premium,F,SI1,59.5,59.0,5.31,5.24,3.14,1338
1514,0.91,Ideal,H,SI1,62.4,57.0,6.18,6.23,3.87,3635
11730,0.32,Ideal,F,VVS1,61.5,56.0,4.39,4.42,2.71,803
8288,1.23,Premium,F,VS2,59.6,58.0,6.94,7.02,4.16,8855
23892,1.09,Premium,G,SI1,61.8,59.0,6.59,6.53,4.06,4322
15429,0.39,Very Good,F,VVS2,61.7,56.0,4.7,4.74,2.91,965
15296,0.7,Premium,G,I1,59.7,59.0,5.76,5.57,3.39,1138
9218,0.54,Ideal,H,VVS2,61.1,56.0,5.23,5.28,3.21,1696
26013,0.31,Ideal,D,VS2,61.2,55.0,4.37,4.42,2.69,734
3690,0.71,Very Good,H,SI1,62.4,58.0,5.67,5.7,3.55,2076
1717,1.02,Premium,H,SI2,62.5,54.0,6.44,6.4,4.01,4284
21780,0.52,Premium,G,SI2,61.4,56.0,5.27,5.18,3.2,1235
17510,0.71,Good,D,VS1,59.2,56.0,5.84,5.85,3.46,3524
19382,0.31,Premium,H,VVS1,63.0,58.0,4.37,4.33,2.74,907
19780,0.41,Ideal,G,VS2,59.8,57.0,4.85,4.81,2.89,1061
7768,1.57,Ideal,J,VVS2,61.4,57.0,7.5,7.45,4.59,9516
24741,0.31,Ideal,E,VS2,62.9,57.0,4.35,4.3,2.72,872
19722,1.04,Very Good,D,SI1,58.9,58.0,6.66,6.69,3.93,6138
22280,0.7,Good,E,VS1,61.2,58.0,5.66,5.72,3.48,3148
8732,1.0,Good,D,SI1,60.5,60.0,6.37,6.42,3.87,5546
12164,1.04,Premium,J,SI2,62.0,59.0,6.49,6.47,4.02,3669
15679,0.71,Very Good,F,VVS1,63.3,58.0,5.67,5.64,3.58,3104
20599,0.8,Ideal,E,SI2,61.0,55.0,6.0,6.03,3.67,2978
14369,0.51,Ideal,F,VS2,61.7,56.0,5.13,5.15,3.17,1660
355,1.01,Good,G,SI1,60.7,59.0,6.35,6.4,3.87,4672
21092,1.01,Good,E,SI1,64.1,62.0,6.19,6.26,3.99,4399
19354,0.31,Premium,I,VS1,59.2,60.0,4.45,4.4,2.62,628
24440,1.06,Ideal,F,SI1,62.1,57.0,6.53,6.51,4.05,5758
5289,0.35,Premium,E,VS1,62.2,58.0,4.47,4.5,2.79,718
21254,1.01,Very Good,F,VVS2,63.0,56.0,6.34,6.4,4.01,8265
16368,0.4,Good,E,VVS2,57.7,62.0,4.82,4.88,2.8,981
4677,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,8228
21676,0.38,Ideal,E,VS1,61.6,56.0,4.66,4.62,2.86,1069
2003,1.01,Good,E,SI2,58.5,61.0,6.51,6.61,3.84,4807
6803,0.39,Good,F,SI1,63.6,58.0,4.65,4.6,2.94,921
5813,0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,789
1213,1.07,Ideal,H,SI2,62.8,56.0,6.5,6.56,4.1,4899
10651,0.7,Good,D,SI2,58.5,65.0,5.79,5.76,3.38,2310
24381,0.56,Ideal,G,VVS1,62.0,56.0,5.28,5.3,3.28,2202
5402,1.0,Ideal,F,VS2,61.7,58.0,6.37,6.43,3.95,6424
12118,1.31,Very Good,H,SI2,61.7,59.0,6.96,7.01,4.31,6263
22241,1.09,Good,D,IF,58.7,61.0,6.75,6.85,3.99,16406
15154,0.82,Good,E,SI2,61.8,56.0,5.95,5.99,3.69,3050
328,0.34,Premium,G,VS2,60.3,58.0,4.49,4.53,2.72,596
8209,0.55,Very Good,J,SI1,62.5,57.0,5.22,5.24,3.27,965
26686,0.35,Ideal,F,VS2,61.9,54.0,4.54,4.5,2.8,906
20052,1.56,Good,J,VS2,62.3,64.0,7.41,7.36,4.6,8107
954,0.53,Premium,G,VS2,60.7,59.0,5.24,5.18,3.16,1607
1261,0.31,Very Good,E,SI2,61.2,61.0,4.36,4.37,2.67,435
5760,1.6,Premium,H,SI2,62.4,60.0,7.48,7.43,4.65,9229
13062,0.37,Premium,H,VVS2,62.2,59.0,4.56,4.54,2.83,957
